canon_id,Link Score,union_name,union_city,union_state
545388,1.0,afge-4070,thomson,il
544740,1.0,afge-480,crab orchard,wv
540288,1.0,afge-501,miami,fl
514340,1.0,afge-505,los angeles,ca
542690,1.0,afge-506,wildwood,fl
542627,1.0,afge-520,columbia,sc
502007,1.0,afge-547,tampa,fl
503090,1.0,afge-720,terre haute,in
545098,1.0,afge-725,north chicago,il
544808,1.0,afge-781,hines,il
502140,1.0,afge-817,lexington,ky
541640,1.0,afge-910,kansas city,mo
501128,1.0,afge-940,philadelphia,pa
507045,0.0110235745,afge-council 170,harris,mn
501349,0.8857621,afge-cpl 33-2052,hopewell,va
503041,0.99706554,afge-n/a,hot springs,sd
512674,0.99776006,afge-n/a,jacksonville,fl
542879,1.0,afge-n/a,washington,dc
502016,0.99999934,afge-ncfll local 648,chicago,il
542688,0.99999577,afge/cpl 33 408,butner,nc
545052,0.99999654,afge/cpl 33-0573,aliceville,al
544293,0.99991524,afge/national border patrol council-2266,malone,ny
38451,0.92074984,afl-cio opeiu 393,grand blanc,mi
71154,0.019407626,afm - lehigh valley musicians association local 45,allentown,pa
71154,0.019407626,afm - lehigh valley musicians association-45,allentown,pa
42378,1.0,afm - twin cities musicians union 30-73,minneapolis,mn
42378,1.0,afm - twin cities musicians union local 30-73,minneapolis,mn
42378,1.0,afm - twin cities musicians union-30-73,minneapolis,mn
23231,1.0,afm 21,wilmington,de
16614,1.0,afm 325,san diego,ca
35563,1.0,afm 353,long beach,ca
46854,1.0,afm 6,san francisco,ca
16825,0.9999937,afm 65-699,houston,tx
33271,1.0,afm 7,santa ana,ca
10790,1.0,afm 802,new york,ny
6300,0.9993038,afm 807,new york,ny
12112,0.9999966,afm afl-cio clc 47,burbank,ca
12112,0.9999966,afm afl-cio clc local 47,burbank,ca
12112,0.9999966,afm afl-cio clc-47,burbank,ca
12112,0.7129522,afm afl-cio clc-47,hollywood,ca
22891,1.0,afm local 105,spokane,wa
46202,1.0,afm local 12 sacramento 12,sacramento,ca
23231,1.0,afm local 21,wilmington,de
42989,1.0,afm local 228,kalamazoo,mi
16614,1.0,afm local 325,san diego,ca
12922,1.0,afm local 5,southfield,mi
38963,0.99999994,afm local 554-635,lexington,ky
46854,1.0,afm local 6,san francisco,ca
5324,1.0,afm local 77,philadelphia,pa
10790,1.0,afm local 802,new york,ny
46202,0.9574086,afm sacramento-12,sacramento,ca
42378,1.0,afm twin cities musicians 30-73,minneapolis,mn
18820,0.99999994,afm-101 473,dayton,oh
46202,1.0,afm-12,sacramento,ca
14889,1.0,afm-125,norfolk,va
23873,0.9995707,afm-135-211,wyomissing,pa
60730,1.0,afm-136,charleston,wv
49465,1.0,afm-137,cedar rapids,ia
3834,1.0,afm-148-462,atlanta,ga
12165,0.9999986,afm-15-286,toledo,oh
10132,0.016634237,afm-16-248,new york,ny
13153,1.0,afm-161-710,washington,dc
29825,1.0,afm-171,springfield,ma
15151,1.0,afm-198-457,providence,ri
47147,1.0,afm-2-197,saint louis,mo
11949,0.81818813,afm-20-623,denver,co
23231,1.0,afm-21,wilmington,de
45173,1.0,afm-23,san antonio,tx
544643,1.0,afm-232-278,south bend,in
62544,1.0,afm-238-291,poughkeepsie,ny
515163,0.99999994,afm-30-73,minneapolis,mn
51032,1.0,afm-301,pekin,il
14014,1.0,afm-308,santa barbara,ca
16614,1.0,afm-325,san diego,ca
3030,1.0,afm-342,charlotte,nc
35563,1.0,afm-353,long beach,ca
27137,1.0,afm-368,reno,nv
9908,1.0,afm-380,binghamton,ny
9908,1.0,afm-380,cortland,ny
30803,1.0,afm-4,cleveland,oh
19966,0.9999997,afm-40-543,baltimore,md
10274,1.0,afm-427-721,clearwater,fl
10274,0.9999714,afm-427-721,st. petersburg,fl
29993,1.0,afm-433,austin,tx
37488,1.0,afm-443,oneonta,ny
4730,1.0,afm-466,el paso,tx
12112,1.0,afm-47,hollywood,ca
12922,1.0,afm-5,southfield,mi
49521,1.0,afm-546,knoxville,tn
41794,1.0,afm-56,grand rapids,mi
26797,1.0,afm-586,phoenix,az
26797,1.0,afm-586,,
46854,1.0,afm-6,san francisco,ca
40563,1.0,afm-655,fort lauderdale,fl
13905,1.0,afm-677,honolulu,hi
46482,1.0,afm-689,eugene,or
33271,1.0,afm-7,santa ana,ca
2033,1.0,afm-71,memphis,tn
24572,1.0,afm-72-147,arlington,tx
24572,1.0,afm-72-147,arlingtong,tx
3905,1.0,afm-8,brown deer,wi
3905,0.9999999,afm-8,milwaukee,wi
10790,1.0,afm-802,new york,ny
10790,1.0,afm-802,,
37185,0.99999976,afm-86-242,youngstown,oh
17585,0.9992599,afm-9-535,boston,ma
23039,1.0,afm-94,tulsa,ok
28732,1.0,afm-99,portland,or
17585,4.3421627e-05,afm-bma-9-535,belmont,ma
521613,0.00054858933,afm-n/a,chicago,il
521613,1.2736615e-06,afm-n/a,new york,ny
29154,0.7653347,afm/akron federation of musicians-24,akron,oh
,,afm/ama-14,,
17791,0.0036785242,afm/ama-618,sandia park,nm
10790,0.99911857,afm/amgny local 802,new york,ny
10790,0.99911857,afm/amgny-802,new york,ny
17585,4.3421627e-05,afm/bma-9-535,belmont,ma
28040,0.0069804844,afm/cfm -10-208,chicago,il
28040,0.0069804844,afm/cfm-10-208,chicago,il
515163,0.45740378,afm/tcmu local 30-73,minneapolis,mn
515163,0.45740378,afm/tcmu-30-73,minneapolis,mn
,,afscme,duluth,mn
,,afscme,marquette,mi
,,afscme,portland,or
,,afscme,south st paul,mn
,,afscme,st. cloud,mn
69669,1.0,afscme  800,los angeles,ca
23065,1.5602932e-07,afscme  council 31-2452,chicago,il
513362,0.99981624,afscme  council 79,jacksonville,fl
515959,0.9976336,afscme  ohio council 8 1252,the plains,oh
,,afscme  r i council 94-2825,north providence,ri
513418,0.9954418,afscme (clerks)-1733,memphis,tn
513418,0.99593574,afscme (ppepl)-1733,memphis,tn
513418,0.9966267,afscme (surveyors)-1733,memphis,tn
543870,0.99909574,afscme - council 31 3492,springfield,il
543870,0.99909574,afscme - council 31 local 3492,springfield,il
530082,0.35713834,afscme - district council 83 0471,duncansville,pa
530082,0.35713834,afscme - district council 83-0471,duncansville,pa
61537,1.0,afscme -1760,eau claire,wi
517137,1.0,afscme -3152,,
544573,0.42969745,afscme / united ems workers-4911,oakland,ca
538144,1.0,afscme 0285,franklin,pa
540627,1.0,afscme 1199,philadelphia,pa
3899,0.9832178,afscme 1216 council 31,springfield,il
544303,0.99999696,afscme 1268 council 31,springfield,il
69146,8.774748e-11,afscme 140.13,detroit,mi
543489,1.0,afscme 1732,franklin,pa
533825,1.0,afscme 1739,philadelphia,pa
,,afscme 1790,portland,or
530161,4.075561e-15,afscme 1843-1,nashwauk,mn
40077,4.3941125e-14,afscme 1843-2,nashwauk,mn
545903,1.0,afscme 1850,franklin,pa
545722,1.0,afscme 2016,new columbia,pa
545769,1.0,afscme 2069,franklin,pa
541675,1.0,afscme 217,cincinnati,oh
545786,1.0,afscme 2184,franklin,pa
23065,1.9416507e-06,afscme 2386 council 31,springfield,il
545771,1.0,afscme 2446,franklin,pa
512610,1.0,afscme 25,lansing,mi
513560,1.0,afscme 2665,franklin,pa
23065,8.324117e-08,afscme 2871 council 31,springfield,il
543568,1.0,afscme 2893,franklin,pa
545793,1.0,afscme 2902,franklin,pa
545768,1.0,afscme 2917,franklin,pa
545266,1.0,afscme 32-32,chippewa falls,wi
530181,0.99999857,afscme 3538 council 31,springfield,il
537373,1.0,afscme 3558,duluth,mn
540453,0.9999952,afscme 3784 council 31,springfield,il
543838,0.9999998,afscme 3903 council 31,springfield,il
540621,1.0,afscme 3931,south saint paul,mn
545776,1.0,afscme 3959,franklin,pa
,,afscme 4041,las vegas,nv
544573,0.999955,afscme 4911,washington,dc
511506,0.96056545,afscme 55 dc 31,springfield,il
528285,1.0,afscme 75,portland,or
517101,1.0,afscme 8,st paul,mn
69669,1.0,afscme 800,los angeles,ca
69669,1.0,afscme 800,vernon,ca
516997,1.0,afscme 829,oakland,ca
71066,1.0,afscme 88,plymouth meeting,pa
545960,1.0,afscme 982,harrisburg,pa
511506,0.39031935,afscme 9953 council 31,springfield,il
511506,0.39031935,afscme 9961 council 31,springfield,il
20822,2.9602525e-05,afscme afl-cio minnesota council 65-395,nashwauk,mn
546540,9.155391e-08,afscme afl-cio nuhhce district 1199j,philadelphia,pa
546458,1.2245847e-14,afscme afl-cio nuhhce-1199j,newark,nj
546540,1.6216998e-08,afscme afl-cio nuhhce-1199j,philadelphia,pa
,,afscme afl-cio nuhhce-1199j,,
528578,0.99999815,afscme afl-cio-1000,albany,ny
59632,0.9983822,afscme afl-cio-1119,nashwauk,mn
546458,3.5854236e-15,afscme afl-cio-1199j,newark,nj
546540,1.1104163e-08,afscme afl-cio-1199j,philadelphia,pa
72332,0.00031262773,afscme afl-cio-65,nashwauk,mn
